player,gender,archetype,shots,avg_wpa_lost,accuracy,archetype_mean,class_rel_z,rank_overall,rank_in_archetype,archetype_size
Mats Wilander,M,Baseline grinder / counterpuncher,21496,0.0535,72.553,0.0687,-2.2778,1,1,82
Daniil Medvedev,M,Big-serving baseliner,122720,0.0621,68.8764,0.0795,-2.2462,16,1,107
Jack Draper,M,Big-serving baseliner,10912,0.0639,68.1373,0.0795,-2.0129,22,2,107
Pete Sampras (1990–1995),M,Net-rusher / serve-volleyer,43248,0.0773,62.8828,0.0891,-1.9392,127,1,26
Alexander Zverev (2024–2026),M,Big-serving baseliner,28698,0.0655,67.4982,0.0795,-1.809,30,3,107
Juan Martin Del Potro (2014–2022),M,Big-serving baseliner,29414,0.0663,67.1934,0.0795,-1.7112,37,4,107
Andrei Chesnokov,M,Baseline grinder / counterpuncher,8420,0.0573,70.9225,0.0687,-1.7097,2,2,82
Juan Martin Del Potro (2007–2013),M,Big-serving baseliner,32816,0.0664,67.1384,0.0795,-1.6935,38,5,107
Daniel Evans,M,Slice & variety,12390,0.0691,66.0496,0.0839,-1.5853,53,1,26
Boris Becker (1985–1990),M,Net-rusher / serve-volleyer,32895,0.0795,62.0515,0.0891,-1.5726,148,2,26
Gilles Simon,M,Baseline grinder / counterpuncher,29686,0.0582,70.5265,0.0687,-1.5697,3,3,82
Fabrice Santoro,M,Baseline grinder / counterpuncher,6046,0.0583,70.4935,0.0687,-1.5581,4,4,82
Bjorn Borg,M,Baseline grinder / counterpuncher,11860,0.0584,70.4362,0.0687,-1.5377,5,5,82
Brandon Nakashima,M,Big-serving baseliner,16785,0.0681,66.4526,0.0795,-1.4714,47,6,107
Andy Roddick,M,Big-serving baseliner,47360,0.0684,66.3351,0.0795,-1.4331,50,7,107
Andrey Rublev (2024–2026),M,Big-serving baseliner,17688,0.0684,66.3256,0.0795,-1.43,51,8,107
Roberto Bautista Agut,M,Baseline grinder / counterpuncher,32550,0.0593,70.06,0.0687,-1.4039,6,6,82
Tomas Martin Etcheverry,M,Baseline grinder / counterpuncher,11171,0.0594,70.0059,0.0687,-1.3846,7,7,82
Roberto Carballes Baena,M,Baseline grinder / counterpuncher,10560,0.0595,69.9789,0.0687,-1.3749,8,8,82
Stefan Edberg (1985–1991),M,Net-rusher / serve-volleyer,35202,0.081,61.5266,0.0891,-1.3387,156,3,26
Michael Chang (1994–1998),M,Big-serving baseliner,8173,0.0692,66.0141,0.0795,-1.3282,55,9,107
Janko Tipsarevic,M,Big-serving baseliner,12603,0.0694,65.9487,0.0795,-1.3068,56,10,107
Thomas Muster,M,Baseline grinder / counterpuncher,16350,0.0601,69.7353,0.0687,-1.2878,9,9,82
Rafael Nadal (2003–2014),M,Baseline grinder / counterpuncher,112352,0.0602,69.691,0.0687,-1.2719,10,10,82
Stefanos Tsitsipas (2016–2022),M,Big-serving baseliner,45961,0.0699,65.7256,0.0795,-1.2335,57,11,107
John Mcenroe (1978–1985),M,Net-rusher / serve-volleyer,15030,0.0817,61.2603,0.0891,-1.2193,161,4,26
Guy Forget,M,Net-rusher / serve-volleyer,6562,0.0817,61.2449,0.0891,-1.2123,162,5,26
Learner Tien,M,Big-serving baseliner,10449,0.0703,65.6057,0.0795,-1.194,59,12,107
Andrey Rublev (2015–2023),M,Big-serving baseliner,40756,0.0707,65.4475,0.0795,-1.1418,63,13,107
Gustavo Kuerten,M,Big-serving baseliner,25131,0.0707,65.4126,0.0795,-1.1303,64,14,107
Guillermo Coria,M,Baseline grinder / counterpuncher,11070,0.0612,69.2772,0.0687,-1.123,11,11,82
Filip Krajinovic,M,Big-serving baseliner,7142,0.0709,65.3644,0.0795,-1.1143,65,15,107
Taylor Fritz,M,Big-serving baseliner,47468,0.071,65.3297,0.0795,-1.1028,67,16,107
