player,gender,cluster,archetype,n_points
Roger Federer (1998–2009),M,2,Slice & variety,62202
Roger Federer (2010–2021),M,2,Slice & variety,61853
Hubert Hurkacz,M,3,Big-serving baseliner,53897
Novak Djokovic (2005–2016),M,0,Baseline grinder / counterpuncher,47569
Novak Djokovic (2017–2026),M,0,Baseline grinder / counterpuncher,45497
Daniil Medvedev,M,3,Big-serving baseliner,45388
Rafael Nadal (2003–2014),M,0,Baseline grinder / counterpuncher,41003
Carlos Alcaraz,M,0,Baseline grinder / counterpuncher,36875
Dominic Thiem,M,3,Big-serving baseliner,29884
Rafael Nadal (2015–2024),M,0,Baseline grinder / counterpuncher,29605
Grigor Dimitrov,M,2,Slice & variety,27487
Casper Ruud,M,0,Baseline grinder / counterpuncher,26053
Jannik Sinner (2013–2023),M,0,Baseline grinder / counterpuncher,25145
Lleyton Hewitt,M,0,Baseline grinder / counterpuncher,24704
Stan Wawrinka,M,2,Slice & variety,24584
Gael Monfils,M,3,Big-serving baseliner,22904
Andy Murray (2005–2014),M,0,Baseline grinder / counterpuncher,22762
Jannik Sinner (2024–2026),M,0,Baseline grinder / counterpuncher,22488
Pete Sampras (1990–1995),M,1,Net-rusher / serve-volleyer,22465
Alex De Minaur,M,0,Baseline grinder / counterpuncher,22005
Pete Sampras (1996–2002),M,1,Net-rusher / serve-volleyer,21584
Andy Roddick,M,3,Big-serving baseliner,21254
Andy Murray (2015–2024),M,0,Baseline grinder / counterpuncher,21253
Andre Agassi (1988–1997),M,0,Baseline grinder / counterpuncher,20697
Taylor Fritz,M,3,Big-serving baseliner,20678
Andre Agassi (1998–2006),M,0,Baseline grinder / counterpuncher,20615
Lorenzo Musetti,M,0,Baseline grinder / counterpuncher,20506
Nick Kyrgios,M,3,Big-serving baseliner,20029
Alexander Zverev (2014–2023),M,3,Big-serving baseliner,19843
Tallon Griekspoor,M,3,Big-serving baseliner,19578
Stefanos Tsitsipas (2016–2022),M,3,Big-serving baseliner,19485
Botic Van De Zandschulp,M,3,Big-serving baseliner,18965
Andrey Rublev (2015–2023),M,3,Big-serving baseliner,18031
Stefan Edberg (1985–1991),M,1,Net-rusher / serve-volleyer,17805
Stefan Edberg (1992–2012),M,1,Net-rusher / serve-volleyer,17635
Marat Safin,M,3,Big-serving baseliner,17034
Boris Becker (1985–1990),M,1,Net-rusher / serve-volleyer,16110
Felix Auger Aliassime,M,3,Big-serving baseliner,16093
John Isner,M,3,Big-serving baseliner,15627
Matteo Berrettini,M,2,Slice & variety,15119
Richard Gasquet,M,0,Baseline grinder / counterpuncher,15002
Boris Becker (1991–1999),M,1,Net-rusher / serve-volleyer,14930
Marin Cilic,M,3,Big-serving baseliner,14855
Denis Shapovalov,M,3,Big-serving baseliner,14698
Milos Raonic,M,3,Big-serving baseliner,13928
Jo Wilfried Tsonga,M,3,Big-serving baseliner,13732
Stefanos Tsitsipas (2023–2026),M,3,Big-serving baseliner,13607
Juan Martin Del Potro (2007–2013),M,3,Big-serving baseliner,12953
Tommy Paul,M,0,Baseline grinder / counterpuncher,12939
Ivan Lendl (1979–1987),M,0,Baseline grinder / counterpuncher,12850
David Goffin,M,3,Big-serving baseliner,12602
Juan Martin Del Potro (2014–2022),M,3,Big-serving baseliner,12556
Roberto Bautista Agut,M,0,Baseline grinder / counterpuncher,12026
Alexander Zverev (2024–2026),M,3,Big-serving baseliner,11967
Yevgeny Kafelnikov,M,3,Big-serving baseliner,11902
Kei Nishikori,M,0,Baseline grinder / counterpuncher,11742
Adrian Mannarino,M,0,Baseline grinder / counterpuncher,11547
Nikolay Davydenko,M,0,Baseline grinder / counterpuncher,11295
Holger Rune,M,3,Big-serving baseliner,11291
